Designator,Mid X,Mid Y,Layer,Rotation
REF**,38.500497,-111.001006,top,0
REF**,98.500002,-93.999001,top,0
REF**,134.500502,-111.001005,top,0
REF**,118.999001,-85.500001,top,0
REF**,49.499998,-146.001006,top,0
REF**,106.499502,-58.998998,top,0
REF**,143.500005,-146.001006,top,0
REF**,75.001001,-83.500001,top,0
REF**,59.499499,-58.998998,top,0
REF**,85.500501,-76.001002,top,0
REF**,48.499998,-163.999005,top,0
REF**,39.500497,-41.000998,top,0
REF**,60.499499,-93.999002,top,0
REF**,86.500501,-111.001006,top,0
REF**,165.99902,-174.334178,top,0
REF**,156.499508,-163.99901,top,0
REF**,50.499998,-128.999004,top,0
REF**,28.000997,-173.500762,top,0
REF**,122.001005,-155.500006,top,0
REF**,168.831426,-41.000998,top,0
REF**,170.49826,-163.999015,top,0
REF**,98.500002,-41.000999,top,0
REF**,171.331676,-163.999015,top,0
REF**,154.499508,-163.999009,top,0
REF**,174.665343,-163.999015,top,0
REF**,26.001997,-163.999015,top,0
REF**,40.500497,-41.000998,top,0
REF**,84.500501,-163.999002,top,0
REF**,28.000997,-172.667345,top,0
REF**,62.499499,-146.001002,top,0
REF**,154.499508,-76.001,top,0
REF**,17.66783,-163.999015,top,0
REF**,122.001005,-84.500001,top,0
REF**,86.500501,-93.999,top,0
REF**,50.499998,-41.000999,top,0
REF**,165.99902,-175.167595,top,0
REF**,106.499502,-111.001002,top,0
REF**,122.001005,-50.499999,top,0
REF**,156.499508,-76.001,top,0
REF**,118.999001,-120.500003,top,0
REF**,132.500502,-111.001006,top,0
REF**,51.499998,-111.001003,top,0
REF**,87.500501,-128.999002,top,0
REF**,71.998998,-153.500006,top,0
REF**,131.500502,-76.001002,top,0
REF**,156.499508,-146.001002,top,0
REF**,71.998998,-156.500006,top,0
REF**,107.499502,-58.998998,top,0
REF**,98.500002,-163.999006,top,0
REF**,71.998998,-86.500001,top,0
REF**,106.499502,-76.001,top,0
REF**,165.99902,-31.499248,top,0
REF**,95.500002,-58.998999,top,0
REF**,165.99902,-170.167095,top,0
REF**,168.831426,-163.999015,top,0
REF**,96.500002,-128.999003,top,0
REF**,49.499998,-41.000998,top,0
REF**,71.998998,-50.499999,top,0
REF**,71.998998,-154.500006,top,0
REF**,49.499998,-163.999006,top,0
REF**,75.001002,-50.499999,top,0
REF**,71.998998,-118.500003,top,0
REF**,98.500002,-111.001003,top,0
REF**,61.499499,-128.999006,top,0
REF**,165.999005,-119.500003,top,0
REF**,28.000997,-168.500262,top,0
REF**,165.999006,-48.499999,top,0
REF**,21.834913,-41.000998,top,0
REF**,165.999005,-49.499999,top,0
REF**,51.499998,-163.999006,top,0
REF**,169.664843,-41.000998,top,0
REF**,122.001006,-51.499999,top,0
REF**,71.998998,-49.499999,top,0
